product_name,product_url,short_description
Reliable Model F1 Upright Sprinkler,https://www.reliablesprinkler.com/products,Standard response upright sprinkler. K-factor 5.6. UL/FM approved. Chrome or brass finish. Sizes 1/2" | DN15
Reliable Model F1 Pendent Sprinkler,https://www.reliablesprinkler.com/products,Standard response pendent sprinkler. K-factor 5.6. UL/FM approved. Multiple finishes available. Sizes 1/2" | DN15
Reliable Model G Quick Response,https://www.reliablesprinkler.com/products,Quick response upright/pendent sprinkler. K-factor 5.6. UL/FM listed. For light/ordinary hazard. Sizes 1/2" | DN15
Reliable Model GS Sidewall,https://www.reliablesprinkler.com/products,Quick response horizontal sidewall sprinkler. K-factor 5.6. UL/FM approved. For residential/commercial. Sizes 1/2" | DN15
Reliable Model 2000 ESFR,https://www.reliablesprinkler.com/products,ESFR sprinkler for storage protection. K-factor 14.0 and 16.8. FM approved. High-challenge applications. Sizes 1/2" | DN15
Reliable Model H Residential,https://www.reliablesprinkler.com/products,Residential pendent sprinkler. K-factor 4.9. UL/FM listed. For homes and apartments. Sizes 1/2" | DN15
Reliable Model HR Concealed,https://www.reliablesprinkler.com/products,Concealed residential pendent with cover plate. K-factor 4.9. Flush mount aesthetic. Sizes 1/2" | DN15
Reliable Model EC Extended Coverage,https://www.reliablesprinkler.com/products,Extended coverage upright/pendent. K-factor 11.2. Larger spacing allowed. Sizes 1/2 - 3/4" | DN15 - DN20
Reliable Model D Dry Pendent,https://www.reliablesprinkler.com/products,Dry pendent for freezing areas. K-factor 5.6. 12" and 18" barrel lengths. Sizes 1/2" | DN15
Reliable Model C Concealed Pendent,https://www.reliablesprinkler.com/products,Concealed pendent sprinkler with plate. K-factor 5.6. Quick response. Various finishes. Sizes 1/2" | DN15
Reliable RASCO 90° Elbow,https://www.reliablesprinkler.com/product/411,Grooved 90° elbow fitting. Ductile iron. UL/FM approved for fire protection. Sizes from 1 - 12" | DN25 - DN300
Reliable RASCO 45° Elbow,https://www.reliablesprinkler.com/product/411,Grooved 45° elbow fitting. Ductile iron. UL/FM approved for fire protection. Sizes from 1 - 12" | DN25 - DN300
Reliable RASCO Tee,https://www.reliablesprinkler.com/product/411,Grooved tee fitting. Ductile iron. UL/FM approved for fire protection systems. Sizes from 1 - 12" | DN25 - DN300
Reliable RASCO Reducing Tee,https://www.reliablesprinkler.com/product/411,Grooved reducing tee. Ductile iron. UL/FM approved. Multiple size combinations. Sizes 1 - 12" | DN25 - DN300
Reliable RASCO Cross,https://www.reliablesprinkler.com/product/411,Grooved cross fitting. Ductile iron. UL/FM approved for fire protection. Sizes from 2 - 8" | DN50 - DN200
Reliable RASCO Reducer,https://www.reliablesprinkler.com/product/411,Grooved concentric reducer. Ductile iron. UL/FM approved. Various size combinations. Sizes 1 - 12" | DN25 - DN300
Reliable RASCO Cap,https://www.reliablesprinkler.com/product/411,Grooved cap fitting. Ductile iron. UL/FM approved. For system termination. Sizes from 1 - 12" | DN25 - DN300
Reliable RASCO Mechanical Tee,https://www.reliablesprinkler.com/product/411,Grooved mechanical tee. Ductile iron. For branch connections. UL/FM approved. Sizes 1 - 8" | DN25 - DN200
Reliable RASCO Flange Adapter,https://www.reliablesprinkler.com/product/411,Grooved flange adapter. Ductile iron. UL/FM approved. Bolted flange connection. Sizes 1 - 12" | DN25 - DN300
Reliable RASCO Rigid Coupling,https://www.reliablesprinkler.com/product/411,Rigid grooved coupling. Ductile iron housing. UL/FM approved at 300 PSI. Sizes from 1 - 12" | DN25 - DN300
Reliable RASCO Flexible Coupling,https://www.reliablesprinkler.com/product/411,Flexible grooved coupling. Ductile iron with EPDM gasket. Allows movement. Sizes from 1 - 12" | DN25 - DN300
Reliable RASCO QuickVic Coupling,https://www.reliablesprinkler.com/product/411,QuickVic installation-ready coupling. Pre-assembled. Tool-free installation. Sizes from 1 - 6" | DN25 - DN150
Reliable Model 110 Alarm Valve,https://www.reliablesprinkler.com/products,Wet alarm valve. Electric and mechanical trim available. UL/FM approved. Sizes from 2 - 8" | DN50 - DN200
Reliable Model 140 Dry Valve,https://www.reliablesprinkler.com/products,Automatic dry pipe valve. For freezing areas. Low-trip pressure. UL/FM approved. Sizes from 2 - 8" | DN50 - DN200
Reliable Model 150 Deluge Valve,https://www.reliablesprinkler.com/products,Deluge valve for open systems. Electric/hydraulic operation. UL/FM listed. Sizes from 2 - 8" | DN50 - DN200
Reliable Model 160 Preaction Valve,https://www.reliablesprinkler.com/products,Single interlock preaction valve. Electric/pneumatic operation. UL/FM approved. Sizes from 2 - 8" | DN50 - DN200
Reliable Pressure Switch,https://www.reliablesprinkler.com/products,Waterflow pressure switch. SPDT contacts. UL/FM listed. Adjustable time delay. Alarm signaling
Reliable Check Valve,https://www.reliablesprinkler.com/products,Swing check valve. Bronze or iron body. Threaded or grooved ends. Sizes from 1 - 6" | DN25 - DN150
Reliable Alarm Test Valve,https://www.reliablesprinkler.com/products,Alarm test and drain valve. Brass construction. 1" NPT connection. For alarm valve testing
Reliable Air Maintenance Device,https://www.reliablesprinkler.com/products,Automatic air compressor for dry systems. Oil-less operation. For systems up to 1500 gallons. Maintenance-free
