product_name,product_url,short_description
Tyco TY-FRB Upright Sprinkler,https://www.tyco-fire.com/products,Fast response upright sprinkler. K-factor 5.6. UL/FM approved. Chrome or brass finish. Sizes 1/2" | DN15
Tyco TY-FRB Pendent Sprinkler,https://www.tyco-fire.com/products,Fast response pendent sprinkler. K-factor 5.6. UL/FM approved. For light/ordinary hazard. Sizes 1/2" | DN15
Tyco TY-B Upright Sprinkler,https://www.tyco-fire.com/products,Standard response upright sprinkler. K-factor 5.6. UL/FM listed. Chrome finish. Sizes 1/2" | DN15
Tyco TY-B Pendent Sprinkler,https://www.tyco-fire.com/products,Standard response pendent sprinkler. K-factor 5.6. UL/FM listed. Chrome finish. Sizes 1/2" | DN15
Tyco LFII Horizontal Sidewall,https://www.tyco-fire.com/products,Quick response horizontal sidewall sprinkler. K-factor 5.6. UL/FM approved. Residential/commercial. Sizes 1/2" | DN15
Tyco ESFR-25 Pendent Sprinkler,https://www.tyco-fire.com/products,K25 ESFR sprinkler for storage. K-factor 25.2. FM approved. Maximum protection. Sizes 1" | DN25
Tyco ESFR-17 Pendent Sprinkler,https://www.tyco-fire.com/products,K17 ESFR sprinkler for storage. K-factor 16.8. FM approved. High-challenge applications. Sizes 1/2" | DN15
Tyco TY-L Residential Pendent,https://www.tyco-fire.com/products,Residential pendent sprinkler. K-factor 4.9. UL/FM listed. For homes and light hazard. Sizes 1/2" | DN15
Tyco Mirage Concealed Pendent,https://www.tyco-fire.com/products,Concealed quick response pendent with cover plate. K-factor 5.6. Flush mount design. Sizes 1/2" | DN15
Tyco TY-EC Extended Coverage,https://www.tyco-fire.com/products,Extended coverage upright/pendent. K-factor 11.2. 20x20 spacing. UL/FM approved. Sizes 1/2 - 3/4" | DN15 - DN20
Tyco Model DPV-1 Dry Sprinkler,https://www.tyco-fire.com/products,Dry pendent for freezing areas. K-factor 5.6. Multiple barrel lengths available. Sizes 1/2" | DN15
Tyco Grinnell G-Fire 90° Elbow,https://www.tyco-fire.com/products-and-solutions/fire-grooved,Grooved 90° elbow. Ductile iron. UL/FM approved for fire protection systems. Sizes from 1 - 12" | DN25 - DN300
Tyco Grinnell G-Fire 45° Elbow,https://www.tyco-fire.com/products-and-solutions/fire-grooved,Grooved 45° elbow. Ductile iron. UL/FM approved for fire protection systems. Sizes from 1 - 12" | DN25 - DN300
Tyco Grinnell G-Fire Tee,https://www.tyco-fire.com/products-and-solutions/fire-grooved,Grooved tee fitting. Ductile iron. UL/FM approved for fire protection. Sizes from 1 - 12" | DN25 - DN300
Tyco Grinnell G-Fire Reducing Tee,https://www.tyco-fire.com/products-and-solutions/fire-grooved,Grooved reducing tee. Ductile iron. UL/FM approved. Multiple size combinations. Sizes 1 - 12" | DN25 - DN300
Tyco Grinnell G-Fire Cross,https://www.tyco-fire.com/products-and-solutions/fire-grooved,Grooved cross fitting. Ductile iron. UL/FM approved for fire protection. Sizes from 2 - 8" | DN50 - DN200
Tyco Grinnell G-Fire Reducer,https://www.tyco-fire.com/products-and-solutions/fire-grooved,Grooved concentric reducer. Ductile iron. UL/FM approved. Various combinations. Sizes 1 - 12" | DN25 - DN300
Tyco Grinnell G-Fire Cap,https://www.tyco-fire.com/products-and-solutions/fire-grooved,Grooved cap fitting. Ductile iron. UL/FM approved. System termination. Sizes from 1 - 12" | DN25 - DN300
Tyco Grinnell G-Fire Mechanical Tee,https://www.tyco-fire.com/products-and-solutions/fire-grooved,Grooved mechanical tee outlet. Ductile iron. For branch connections. UL/FM approved. Sizes 1 - 8" | DN25 - DN200
Tyco Grinnell G-Fire Flange Adapter,https://www.tyco-fire.com/products-and-solutions/fire-grooved,Grooved flange adapter. Ductile iron. UL/FM approved. Bolted connection. Sizes 1 - 12" | DN25 - DN300
Tyco Grinnell G-Fire Rigid Coupling,https://www.tyco-fire.com/products-and-solutions/fire-grooved,Rigid grooved coupling. Ductile iron housing. UL/FM approved at 300 PSI. Sizes from 1 - 12" | DN25 - DN300
Tyco Grinnell G-Fire Flexible Coupling,https://www.tyco-fire.com/products-and-solutions/fire-grooved,Flexible grooved coupling. Ductile iron with EPDM gasket. Allows deflection. Sizes from 1 - 12" | DN25 - DN300
Tyco Grinnell QuickVic SD Coupling,https://www.tyco-fire.com/products-and-solutions/fire-grooved,QuickVic installation-ready coupling. Pre-assembled design. Tool-free install. Sizes from 1 - 6" | DN25 - DN150
Tyco Series DPV-1 Dry Pipe Valve,https://www.tyco-fire.com/products,Automatic dry pipe valve. For freezing areas. Low differential. UL/FM approved. Sizes from 2 - 8" | DN50 - DN200
Tyco DV-5 Deluge Valve,https://www.tyco-fire.com/products,Deluge valve for open systems. Electric/hydraulic operation. UL/FM listed. Sizes from 2 - 8" | DN50 - DN200
Tyco DPV-PC Preaction Valve,https://www.tyco-fire.com/products,Pneumatic preaction valve. Single/double interlock capable. UL/FM approved. Sizes from 2 - 8" | DN50 - DN200
Tyco Alarm Check Valve,https://www.tyco-fire.com/products,Wet alarm valve with trim. Electric and mechanical options. UL/FM approved. Sizes from 2 - 8" | DN50 - DN200
Tyco Waterflow Detector,https://www.tyco-fire.com/products,Vane-type waterflow detector. SPDT contacts. UL/FM listed. Retard adjustment. For alarm systems
Tyco Air Maintenance Device,https://www.tyco-fire.com/products,Automatic air compressor for dry systems. Oil-less operation. 1/3 HP motor. For systems up to 1500 gallons
Tyco Check Valve,https://www.tyco-fire.com/products,Swing check valve. Bronze or iron construction. Threaded or grooved ends. Sizes from 1 - 6" | DN25 - DN150
