sku,product_name,category,size_range,short_description,product_url
229S,Style 229S Non-Restrained Flexible Coupling for FRP,Couplings,,Style 229S. Designed for FRP odor control piping systems. Can be installed in any weather. No curing time required,https://www.victaulic.com/products/style-229s-bolted-split-sleeve-coupling/
232,Style 232 Restrained Flexible Coupling,Couplings,,"Style 232. Restrained flexible joint for use on water, wastewater, force main and penstock piping. Sizes from 8 - 144"" | DN200 - DN3600. Pressures up to 400 psi | 2758 kPa | 28 bar",https://www.victaulic.com/products/style-232-restrained-flexible-coupling/
232S,Style 232S Restrained Flexible Coupling for Stainless Steel,Couplings,,"Style 232S. Restrained flexible joint for use where corrosion resistance is required. Satisfies the requirements of AWWA C227. Sizes from 3 - 96"" | DN80 - DN2400",https://www.victaulic.com/products/style-232s-restrained-flexible-coupling-for-stainless-steel/
233,Style 233 Restrained Flexible Coupling for Dynamic Joint Deflection,Couplings,,"Style 233. Restrained flexible joint that allows for dynamic (in-service) deflection. Sizes from 8 - 144"" | DN200 - DN3600. Pressures up to 300 psi | 2068 kPa | 21 bar",https://www.victaulic.com/products/style-233-restrained-flexible-coupling-for-dynamic-joint-deflection/
234,Style 234 Restrained Flexible Single-Gasket Coupling,Couplings,,"Style 234. Designed for use on water transmission, force mains and penstock lines. Sizes from 8 - 120"" | DN200 - DN3000. Pressures up to 300 psi | 2068 kPa | 21 bar",https://www.victaulic.com/products/style-234-restrained-flexible-single-gasket-coupling/
234S,Style 234S Restrained Flexible Single-Gasket Coupling for Stainless Steel,Couplings,,"Style 234S. Ideal for field joint connections requiring flexibility and thrust restraint. Sizes from 8 - 60"" | DN200 - DN1500. Pressures up to 200 psi | 1379 kPa | 14 bar",https://www.victaulic.com/products/style-234s-restrained-flexible-single-gasket-coupling-for-stainless-steel/
240S,Style 240S Stainless Steel Bellows Expansion Joint,Couplings,,"Style 240S. Concurrent axial, angular and/or lateral pipe movement possible. Lateral offset at pipeline joints. Designed to job-specific parameters",https://www.victaulic.com/products/style-240s-stainless-steel-bellows-expansion-joint/
230,Style 230 Non-Restrained Flexible Coupling,Couplings,,"Style 230. Non-restrained flexible pipe joint for water and wastewater pipelines. Up to ½"" | 13 mm intermittent axial movement. Satisfies the requirements of AWWA C227",https://www.victaulic.com/products/style-230-non-restrained-flexible-coupling/
230S,Style 230S Non-Restrained Flexible Coupling for Stainless Steel,Couplings,,"Style 230S. Non-restrained flexible pipe joint used where corrosion resistance is required. Up to ½"" | 13 mm intermittent axial movement. Satisfies the requirements of AWWA C227",https://www.victaulic.com/products/style-230s-non-restrained-flexible-coupling-for-stainless-steel/
SC998,Style SC998 HDPE-to-Shouldered Transition Coupling,Couplings,,"Style SC998. Sizes available to join 63 - 110 mm HDPE pipe to 2 - 4"" | DN50 - DN100 shouldered pipe (pipe O.D.). Pressure ratings conform to the maximum rating of the pipe. Regional availability, contact Victaulic for details",https://www.victaulic.com/products/style-sc998-hdpe-to-shouldered-transition-coupling/
152A,Style 152A Expansion Joint Coupling,Couplings,,"Style 152A. Large diameter pulverized coal/limestone coupling with 4° of deflection capability. Sizes from 10 - 30"" | DN250 - DN780. Pressures up to 50 psi | 345 kPa | 3 bar",https://www.victaulic.com/products/style-152a-expansion-joint-coupling/
231,Style 231 Non-Restrained Flexible Expansion Coupling,Couplings,,"Style 231. Non-restrained flexible expansion joint provides up to 4"" | 102 mm of axial movement. Satisfies the requirements of AWWA C227. Sizes from 16 - 144"" | DN400 - DN3600",https://www.victaulic.com/products/style-231-non-restrained-flexible-expansion-coupling/
231S,Style 231S Non-Restrained Flexible Expansion Coupling For Stainless Steel,Couplings,,"Style 231S. Flexible non-restrained expansion joint for aeration systems. Up to 4"" | 102 mm axial movement. Satisfies the requirements of AWWA C227",https://www.victaulic.com/products/style-231s-non-restrained-flexible-expansion-coupling-for-stainless-steel/
44,Style 44 Vic-Ring Traditional Grooved Coupling,Couplings,,"Style 44. Provided with a variety of ring options to maintain full pipe wall thickness for abrasive systems. Sizes from 4 - 60"" | DN100 - DN1500. Pressures up to 175 psi | 1207 kPa | 12 bar",https://www.victaulic.com/products/style-44-vic-ring-traditional-grooved-coupling/
809,Style 809 High Pressure Coupling for Ring Systems,Couplings,,"Style 809. Double-bolted coupling for use with Schedule 80 or heavier steel pipe. Coupling engages directly onto restraint rings (supplied with coupling) welded to the O.D. of the pipe. Sizes from 4 - 10"" | DN100 - DN250",https://www.victaulic.com/products/style-809-high-pressure-coupling-for-ring-systems/
,Aquamine™ System Fittings,Fittings,,"Variety of straight and reducing fittings. Sizes from 2 - 12"" | DN50 - DN300. Pressures up to 350 psi | 2413 kPa | 24 bar",https://www.victaulic.com/products/aquamine-system-fittings/
