product_name,product_url,short_description
Viking VK305 Upright Sprinkler,https://www.vikinggroupinc.com/products/fire-sprinklers,Standard response upright sprinkler. K-factor 5.6. UL and FM approved. Sizes 1/2" | DN15. Temperature ratings 135-286°F
Viking VK462 Quick Response Pendent,https://www.vikinggroupinc.com/products/fire-sprinklers,Quick response pendent sprinkler. K-factor 5.6. UL/FM approved for light and ordinary hazard. Sizes 1/2" | DN15
Viking VK464 Quick Response Sidewall,https://www.vikinggroupinc.com/products/fire-sprinklers,Quick response horizontal sidewall sprinkler. K-factor 5.6. For residential and commercial applications. Sizes 1/2" | DN15
Viking VK500 ESFR Sprinkler,https://www.vikinggroupinc.com/products/fire-sprinklers,Early Suppression Fast Response sprinkler for storage. K-factor 14.0 and 16.8. FM approved. Sizes 1/2" | DN15
Viking VK534 Residential Pendent,https://www.vikinggroupinc.com/products/fire-sprinklers,Residential pendent sprinkler. K-factor 4.9. UL/FM approved for homes. Sizes 1/2" | DN15
Viking VK632 Extended Coverage,https://www.vikinggroupinc.com/products/fire-sprinklers,Extended coverage upright sprinkler. K-factor 11.2. Covers larger areas. Sizes 1/2 - 3/4" | DN15 - DN20
Viking VK712 Dry Barrel Sprinkler,https://www.vikinggroupinc.com/products/fire-sprinklers,Dry barrel pendent for freezing areas. K-factor 5.6. 12" barrel length. Sizes 1/2" | DN15
Viking VK730 Concealed Pendent,https://www.vikinggroupinc.com/products/fire-sprinklers,Concealed quick response pendent with cover plate. K-factor 5.6. Flush mount design. Sizes 1/2" | DN15
Viking Fireking 90° Elbow,https://www.viking-emea.com/technologies/grooved-products,Grooved 90° elbow fitting. Ductile iron construction. UL/FM approved. Sizes from 1 - 12" | DN25 - DN300
Viking Fireking 45° Elbow,https://www.viking-emea.com/technologies/grooved-products,Grooved 45° elbow fitting. Ductile iron construction. UL/FM approved. Sizes from 1 - 12" | DN25 - DN300
Viking Fireking Tee,https://www.viking-emea.com/technologies/grooved-products,Grooved tee fitting. Ductile iron construction. UL/FM approved. Sizes from 1 - 12" | DN25 - DN300
Viking Fireking Reducing Tee,https://www.viking-emea.com/technologies/grooved-products,Grooved reducing tee fitting. Ductile iron construction. UL/FM approved. Multiple size combinations 1 - 12" | DN25 - DN300
Viking Fireking Cross,https://www.viking-emea.com/technologies/grooved-products,Grooved cross fitting. Ductile iron construction. UL/FM approved. Sizes from 2 - 8" | DN50 - DN200
Viking Fireking Reducer,https://www.viking-emea.com/technologies/grooved-products,Grooved concentric reducer. Ductile iron construction. UL/FM approved. Size combinations 1 - 12" | DN25 - DN300
Viking Fireking Cap,https://www.viking-emea.com/technologies/grooved-products,Grooved cap fitting. Ductile iron construction. UL/FM approved. Sizes from 1 - 12" | DN25 - DN300
Viking Fireking Mechanical Tee,https://www.viking-emea.com/technologies/grooved-products,Grooved mechanical tee outlet. Ductile iron construction. For branch connections. Sizes 1 - 8" | DN25 - DN200
Viking Fireking Flange Adapter,https://www.viking-emea.com/technologies/grooved-products,Grooved flange adapter. Ductile iron construction. UL/FM approved. Sizes from 1 - 12" | DN25 - DN300
Viking Fireking Rigid Coupling,https://www.viking-emea.com/technologies/grooved-products,Rigid grooved coupling. Ductile iron construction. UL/FM approved at 300 PSI. Sizes from 1 - 12" | DN25 - DN300
Viking Fireking Flexible Coupling,https://www.viking-emea.com/technologies/grooved-products,Flexible grooved coupling. Ductile iron with EPDM gasket. Allows angular deflection. Sizes from 1 - 12" | DN25 - DN300
Viking Fireking FireLock Coupling,https://www.viking-emea.com/technologies/grooved-products,FireLock installation-ready coupling. Ductile iron. Pre-assembled design. Sizes from 1 - 12" | DN25 - DN300
Viking Fireking QuickVic Coupling,https://www.viking-emea.com/technologies/grooved-products,QuickVic rapid installation coupling. Ductile iron. Tool-free installation. Sizes from 1 - 6" | DN25 - DN150
Viking C-1 Preaction Valve,https://www.vikinggroupinc.com/products/valves,Single interlock preaction valve. Electric/pneumatic operation. UL/FM approved. Sizes from 2 - 8" | DN50 - DN200
Viking E-1 Preaction Valve,https://www.vikinggroupinc.com/products/valves,Double interlock preaction valve. Electric/pneumatic operation. UL/FM approved. Sizes from 2 - 8" | DN50 - DN200
Viking H-1 Deluge Valve,https://www.vikinggroupinc.com/products/valves,Deluge valve for open sprinkler systems. Electric/hydraulic operation. UL/FM approved. Sizes from 2 - 8" | DN50 - DN200
Viking F-1 Dry Pipe Valve,https://www.vikinggroupinc.com/products/valves,Automatic dry pipe valve. For freezing areas. UL/FM approved. Sizes from 2 - 8" | DN50 - DN200
Viking J-1 Alarm Valve,https://www.vikinggroupinc.com/products/valves,Wet alarm valve with trim. Electric and mechanical alarm options. UL/FM approved. Sizes from 2 - 8" | DN50 - DN200
Viking Pressure Switch,https://www.vikinggroupinc.com/products/valves,Waterflow pressure switch. SPDT contacts. UL/FM listed. For alarm signaling. Adjustable settings
Viking Air Compressor,https://www.vikinggroupinc.com/products/valves,Air maintenance device for dry pipe systems. Automatic operation. 1/3 HP motor. For systems up to 1500 gallons
Viking Valve Trim Package,https://www.vikinggroupinc.com/products/valves,Complete trim package for alarm valves. Includes gauges and test connections. UL/FM approved
Viking Check Valve,https://www.vikinggroupinc.com/products/valves,Swing check valve. Bronze or iron construction. Threaded or grooved. Sizes from 1 - 6" | DN25 - DN150
